HIT,Posizione 1,Posizione 2,Posizione 3,Posizione 4,Posizione 5
unit_0,B0041RUM0Q,B001DYVHY0,B0050SYWGU,B00QTSR5GO,B00PNVOBTC
unit_1,B0029MAXR2,B003TO59D2,B00006JN5L,B00004SVUZ,B01G6LXXWI
unit_2,B000O39U3Q,B0002KMHD6,B005ZNWT4C,B0001DHQPI,B015XC3B46
unit_3,B00006JN5L,B001DYVHY0,B015XC3B46,B0041RUM0Q,B0050SYWGU
unit_4,B00PNVOBTC,B00QTSR5GO,B01G6LXXWI,B0029MAXR2,B0002KMHD6
unit_5,B00004SVUZ,B005ZNWT4C,B000O39U3Q,B003TO59D2,B0001DHQPI
unit_6,B0001DHQPI,B00QTSR5GO,B015XC3B46,B00006JN5L,B005ZNWT4C
unit_7,B00PNVOBTC,B00004SVUZ,B003TO59D2,B001DYVHY0,B0041RUM0Q
unit_8,B0029MAXR2,B0050SYWGU,B01G6LXXWI,B0002KMHD6,B000O39U3Q
unit_9,B00004SVUZ,B005ZNWT4C,B00PNVOBTC,B00QTSR5GO,B0002KMHD6
unit_10,B01G6LXXWI,B0001DHQPI,B015XC3B46,B000O39U3Q,B003TO59D2
unit_11,B0029MAXR2,B0050SYWGU,B001DYVHY0,B00006JN5L,B0041RUM0Q
unit_12,B00006JN5L,B00PNVOBTC,B0001DHQPI,B003TO59D2,B0041RUM0Q
unit_13,B0029MAXR2,B015XC3B46,B00QTSR5GO,B001DYVHY0,B000O39U3Q
unit_14,B01G6LXXWI,B0050SYWGU,B00004SVUZ,B005ZNWT4C,B0002KMHD6
